                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.0459,                 4.1463,                 4.1794,                0.00026,                0.06195,                0.00015,                  5e-05,                 4.9077,                 4.8571,                 3.8725,               0.070492,              0.0032787,              0.0032787
                      1,                 3.5927,                 3.8426,                 3.8789,                0.00037,                 0.0885,                0.00151,                 0.0002,                  4.445,                 3.7978,                 3.5432,               0.040128,              0.0062484,              0.0062484
                      2,                 3.1757,                 3.3932,                 3.5066,                0.00725,                0.09735,                 0.0033,                0.00082,                 3.1667,                 19.963,                 5.8667,              0.0093978,              0.0088514,              0.0088514
                      3,                 2.9304,                 3.1281,                 3.2273,                0.06495,                0.02655,                0.00798,                0.00188,                 3.1892,                 4.7979,                 2.7892,                0.00835,                0.00835,                0.00835
                      4,                  2.864,                 2.7913,                 3.0767,                0.08105,                0.18584,                0.03741,                0.00767,                 3.3127,                 7.4364,                 2.9754,                0.00835,                0.00835,                0.00835
                      5,                 2.6626,                 2.5568,                 2.9181,                0.14066,                0.43363,                0.13309,                0.03315,                 2.5733,                 4.8366,                 2.4828,                 0.0078,                 0.0078,                 0.0078
                      6,                 2.4916,                 2.3728,                 2.7499,                0.20765,                0.29204,                0.17696,                 0.0526,                 2.4841,                 3.9818,                  2.205,                0.00725,                0.00725,                0.00725
                      7,                  2.311,                 2.2347,                  2.609,                0.39092,                0.38938,                   0.35,                0.12137,                 2.4128,                 2.9925,                 2.0986,                 0.0067,                 0.0067,                 0.0067
                      8,                 2.1066,                 1.9708,                 2.2616,                0.36624,                0.31858,                 0.2848,                0.10898,                 2.3419,                 2.5928,                 2.2665,                0.00615,                0.00615,                0.00615
                      9,                 1.9684,                 1.7393,                 2.1282,                0.61461,                0.40708,                0.49727,                0.21351,                 2.1208,                   1.89,                 1.9006,                 0.0056,                 0.0056,                 0.0056
                     10,                 1.8538,                 1.6197,                 2.0871,                0.61531,                0.61062,                0.61866,                0.25641,                 1.9531,                 1.6246,                 1.8399,                0.00505,                0.00505,                0.00505
                     11,                 1.7877,                 1.4539,                 2.0176,                0.68701,                0.59292,                0.65306,                0.30318,                 1.8283,                 1.6168,                 1.8608,                 0.0045,                 0.0045,                 0.0045
                     12,                  1.682,                 1.3946,                 1.9487,                0.82904,                0.58407,                 0.7038,                0.32739,                 1.8158,                 1.4829,                 1.8646,                0.00395,                0.00395,                0.00395
                     13,                 1.6365,                 1.2998,                  1.894,                0.88492,                0.68048,                0.78215,                0.39707,                 1.6823,                 1.4059,                 1.7847,                 0.0034,                 0.0034,                 0.0034
                     14,                 1.5651,                 1.2494,                 1.8452,                0.80385,                0.69912,                0.76198,                0.38782,                 1.7677,                 1.3397,                 1.7276,                0.00285,                0.00285,                0.00285
                     15,                 1.5363,                 1.2003,                 1.7926,                0.81541,                 0.7037,                0.75105,                0.41919,                 1.6266,                 1.4807,                 1.6912,                 0.0023,                 0.0023,                 0.0023
                     16,                 1.4968,                 1.1296,                 1.7685,                0.84874,                0.74483,                0.80328,                0.42107,                 1.6704,                 1.3145,                 1.7207,                0.00175,                0.00175,                0.00175
                     17,                 1.5016,                 1.1117,                 1.7657,                0.92519,                0.76106,                0.81804,                0.48375,                 1.5136,                  1.207,                 1.6495,                 0.0012,                 0.0012,                 0.0012
