                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.8913,                 4.9305,                 4.4173,                0.00023,                0.05505,                0.00014,                  3e-05,                 5.2038,                 5.2771,                 4.1051,                  0.082,                  0.002,                  0.002
                      1,                 4.6445,                 4.2565,                 4.0971,                0.00027,                0.06422,                0.00017,                  3e-05,                 5.1478,                 4.9529,                  4.052,               0.062897,               0.003897,               0.003897
                      2,                 4.1088,                 3.5424,                 3.6961,                0.00023,                0.05505,                0.00014,                  3e-05,                 5.1408,                  4.012,                 4.0491,               0.043586,              0.0055862,              0.0055862
                      3,                 3.6575,                 3.1318,                 3.4094,                0.00016,                0.00917,                 0.0001,                  2e-05,                 5.1844,                 4.1542,                 4.0997,               0.024067,              0.0070674,              0.0070674
