                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.7879,                 5.2117,                 4.3914,                0.00019,                0.04651,                 0.0001,                  2e-05,                 5.1402,                 6.3521,                 4.1166,                 0.0784,                 0.0024,                 0.0024
                      1,                 4.6024,                 4.3935,                  4.148,                0.00019,                0.04651,                0.00011,                  2e-05,                 5.0833,                  4.273,                 4.0696,               0.055657,              0.0046574,              0.0046574
                      2,                 3.9444,                 3.6541,                  3.721,                0.00017,                 0.0155,                0.00011,                  2e-05,                 5.0947,                 4.3251,                 4.0864,               0.032667,              0.0066674,              0.0066674
                      3,                 3.6398,                 3.4195,                 3.4131,                0.00013,                0.00775,                  8e-05,                  1e-05,                 5.1612,                 4.4938,                 4.1536,              0.0094298,              0.0084298,              0.0084298
                      4,                  3.247,                 3.0887,                 3.1933,                0.00055,                0.03876,                0.00346,                0.00071,                 4.8367,                 4.2946,                 3.8793,                0.00802,                0.00802,                0.00802
                      5,                 3.1531,                 2.9154,                 2.9829,                0.08175,                0.09302,                0.03102,                0.00572,                 3.7864,                 3.3749,                 3.7993,                0.00802,                0.00802,                0.00802
                      6,                 3.0987,                 2.8361,                  2.992,                0.05285,                0.03101,                0.00728,                0.00156,                 3.7855,                 12.186,                 4.1981,               0.007525,               0.007525,               0.007525
                      7,                 2.8999,                 2.6568,                 2.9765,                0.09697,                0.17054,                0.04648,                0.01047,                 3.3086,                 10.447,                  3.023,                0.00703,                0.00703,                0.00703
                      8,                 2.8407,                 2.5469,                 2.8631,                0.29088,                0.37984,                 0.2181,                0.05695,                 3.0727,                  9.231,                 2.8337,               0.006535,               0.006535,               0.006535
                      9,                 2.7532,                 2.4159,                 2.8328,                0.13639,                0.27907,                0.11833,                0.02784,                 3.1886,                 10.921,                 3.0506,                0.00604,                0.00604,                0.00604
                     10,                 2.5428,                 2.2725,                 2.4328,                0.16353,                0.51163,                0.20081,                 0.0644,                 2.6796,                 12.453,                 2.8453,               0.005545,               0.005545,               0.005545
                     11,                 2.3847,                  2.057,                 2.3277,                0.53389,                0.51163,                0.51892,                0.18524,                 2.4274,                 2.0926,                 2.4181,                0.00505,                0.00505,                0.00505
                     12,                 2.2756,                 1.9706,                 2.2358,                0.29133,                 0.5814,                0.27763,                0.11929,                 2.3824,                  4.624,                 2.2017,               0.004555,               0.004555,               0.004555
                     13,                 2.2316,                 1.8866,                 2.1597,                0.60945,                0.44759,                0.47623,                0.20897,                  2.243,                   2.37,                 2.3239,                0.00406,                0.00406,                0.00406
                     14,                 2.1074,                 1.7712,                  2.076,                0.46462,                0.45745,                0.47751,                0.22146,                 2.2463,                 3.3995,                 2.1241,               0.003565,               0.003565,               0.003565
                     15,                 2.1044,                 1.7359,                 2.1033,                0.64043,                0.51163,                0.55632,                0.28391,                 2.0713,                  1.857,                 2.0092,                0.00307,                0.00307,                0.00307
                     16,                 2.0282,                 1.6545,                 2.0297,                0.44582,                0.51938,                0.45368,                0.16027,                 2.3467,                 1.7906,                 2.0499,               0.002575,               0.002575,               0.002575
                     17,                 1.9907,                 1.5472,                 1.9704,                0.68281,                0.56589,                0.58645,                0.27342,                 2.0868,                 1.7507,                 1.9923,                0.00208,                0.00208,                0.00208
                     18,                 1.9737,                 1.5527,                  2.006,                0.77844,                0.56589,                0.65822,                0.33868,                 2.0644,                 1.5345,                 1.9811,               0.001585,               0.001585,               0.001585
                     19,                 1.8861,                 1.4971,                 1.9913,                   0.84,                0.55039,                0.68333,                0.37951,                 1.9978,                 1.4769,                 1.9879,                0.00109,                0.00109,                0.00109
