                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.8239,                 4.9191,                 4.4252,                0.00019,                0.04587,                 0.0001,                  2e-05,                 5.2143,                 5.2599,                 4.1147,                  0.082,                  0.002,                  0.002
                      1,                 4.6478,                 4.3357,                  4.207,                0.00023,                0.05505,                0.00014,                  2e-05,                 5.1508,                 5.2406,                   4.06,               0.062897,               0.003897,               0.003897
                      2,                 4.1265,                 3.6319,                 3.7918,                0.00023,                0.05505,                0.00014,                  3e-05,                 5.1427,                 4.0179,                 4.0584,               0.043586,              0.0055862,              0.0055862
                      3,                 3.6155,                 3.2595,                 3.4844,                0.00016,                0.00917,                 0.0002,                  4e-05,                 5.1804,                 4.0848,                 4.1033,               0.024067,              0.0070674,              0.0070674
                      4,                 3.4358,                 3.1205,                 3.2651,                0.00016,                0.00917,                 0.0001,                  2e-05,                 5.2446,                 4.1823,                 4.1606,                0.00802,                0.00802,                0.00802
                      5,                 3.2473,                 2.9945,                 3.0545,                0.00029,                0.01835,                0.00042,                  4e-05,                 5.0545,                 4.1021,                 3.9423,                0.00802,                0.00802,                0.00802
                      6,                 3.0243,                 2.8037,                 2.9977,                0.19803,                0.23853,                0.12151,                0.02464,                 3.4335,                 2.7891,                 3.0387,               0.007525,               0.007525,               0.007525
                      7,                 2.9598,                 2.7256,                 2.9375,                0.22679,                0.33028,                0.18602,                0.03476,                   3.18,                 8.6142,                 2.8507,                0.00703,                0.00703,                0.00703
                      8,                  2.893,                 2.6122,                 2.9106,                0.35254,                0.34862,                 0.2693,                0.05293,                 3.0992,                 2.7278,                 2.7267,               0.006535,               0.006535,               0.006535
                      9,                 2.7235,                 2.4931,                 2.8495,                0.18999,                0.51376,                0.22501,                0.04776,                 2.8904,                 12.883,                 2.8499,                0.00604,                0.00604,                0.00604
                     10,                 2.6453,                 2.3314,                 2.5763,                 0.2474,                0.30275,                0.20262,                 0.0494,                 3.1344,                 5.1674,                 3.3561,               0.005545,               0.005545,               0.005545
                     11,                 2.4841,                 2.2332,                 2.4131,                0.53681,                0.51376,                0.50032,                0.14506,                 2.5097,                  2.911,                 2.3985,                0.00505,                0.00505,                0.00505
                     12,                 2.3311,                 2.0668,                 2.2789,                0.50572,                0.54128,                0.51849,                0.16622,                 2.3576,                 5.4932,                 2.2297,               0.004555,               0.004555,               0.004555
                     13,                 2.2525,                 1.9804,                 2.1608,                0.46611,                0.51376,                0.44004,                0.17314,                 2.2109,                 3.7797,                 2.2241,                0.00406,                0.00406,                0.00406
                     14,                 2.3149,                 1.8918,                 2.1232,                0.55334,                0.44037,                0.50296,                0.19079,                   2.29,                 2.1059,                 2.0277,               0.003565,               0.003565,               0.003565
                     15,                 2.1692,                  1.812,                 2.0743,                0.56906,                0.62385,                0.62239,                 0.2342,                 2.1573,                 2.1972,                 2.0626,                0.00307,                0.00307,                0.00307
                     16,                 2.1184,                 1.7909,                 2.1393,                0.68799,                0.62715,                0.61898,                0.24163,                 2.0953,                 1.7642,                  1.983,               0.002575,               0.002575,               0.002575
                     17,                 2.2121,                 1.7767,                 2.0144,                0.71937,                0.57798,                0.65706,                0.20929,                  2.172,                 1.7744,                 2.0722,                0.00208,                0.00208,                0.00208
                     18,                 2.0542,                 1.6732,                  1.981,                0.79141,                0.62385,                0.75207,                0.28673,                 2.1124,                 1.5534,                 2.0484,               0.001585,               0.001585,               0.001585
                     19,                 2.1164,                 1.6159,                 1.9767,                0.76979,                0.61468,                0.74048,                0.32186,                 2.0287,                 1.5254,                  1.898,                0.00109,                0.00109,                0.00109
