                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.4228,                 4.6269,                 4.4095,                0.00023,                0.05505,                0.00013,                  2e-05,                 5.1987,                 5.2289,                 4.1051,                  0.082,                  0.002,                  0.002
                      1,                 4.1896,                 4.1528,                 4.1988,                0.00027,                0.06422,                0.00016,                  3e-05,                 5.1371,                 5.2035,                 4.0496,               0.062897,               0.003897,               0.003897
                      2,                  3.833,                 3.6747,                  3.865,                0.00027,                0.06422,                0.00016,                  3e-05,                 5.1177,                 3.9752,                 4.0381,               0.043586,              0.0055862,              0.0055862
